"StaticScheduleGrid-styles__DisciplineLink-sc-3be4b09b-7 href","sc-bdnyFh","lazyload src"
"https://olympics.com/en/paris-2024/the-games/ceremonies/opening-ceremony","Ceremonies",""
"https://olympics.com/en/paris-2024/schedule/3x3-basketball","3x3 Basketball",""
"https://olympics.com/en/paris-2024/schedule/archery","Archery",""
"https://olympics.com/en/paris-2024/schedule/artistic-gymnastics","Artistic Gymnastics",""
"https://olympics.com/en/paris-2024/schedule/artistic-swimming","Artistic Swimming",""
"https://olympics.com/en/paris-2024/schedule/athletics","Athletics",""
"https://olympics.com/en/paris-2024/schedule/badminton","Badminton",""
"https://olympics.com/en/paris-2024/schedule/basketball","Basketball",""
"https://olympics.com/en/paris-2024/schedule/beach-volleyball","Beach Volleyball",""
"https://olympics.com/en/paris-2024/schedule/boxing","Boxing",""
"https://olympics.com/en/paris-2024/schedule/breaking","Breaking",""
"https://olympics.com/en/paris-2024/schedule/canoe-kayak-slalom","Canoe Slalom",""
"https://olympics.com/en/paris-2024/schedule/canoe-kayak-flatwater","Canoe Sprint",""
"https://olympics.com/en/paris-2024/schedule/cycling-bmx-freestyle","Cycling BMX Freestyle",""
"https://olympics.com/en/paris-2024/schedule/cycling-bmx-racing","Cycling BMX Racing",""
"https://olympics.com/en/paris-2024/schedule/cycling-mountain-bike","Cycling Mountain Bike",""
"https://olympics.com/en/paris-2024/schedule/cycling-road","Cycling Road","https://gstatic.olympics.com/s1/t_original/static/light/pictograms-paris-2024/olympics/CRD_small.svg"
"https://olympics.com/en/paris-2024/schedule/cycling-track","Cycling Track","https://gstatic.olympics.com/s1/t_original/static/light/pictograms-paris-2024/olympics/CTR_small.svg"
"https://olympics.com/en/paris-2024/schedule/diving","Diving","https://gstatic.olympics.com/s1/t_original/static/light/pictograms-paris-2024/olympics/DIV_small.svg"
"https://olympics.com/en/paris-2024/schedule/equestrian","Equestrian","https://gstatic.olympics.com/s1/t_original/static/light/pictograms-paris-2024/olympics/EQU_small.svg"
"https://olympics.com/en/paris-2024/schedule/fencing","Fencing","https://gstatic.olympics.com/s1/t_original/static/light/pictograms-paris-2024/olympics/FEN_small.svg"
"https://olympics.com/en/paris-2024/schedule/football","Football","https://gstatic.olympics.com/s1/t_original/static/light/pictograms-paris-2024/olympics/FBL_small.svg"
"https://olympics.com/en/paris-2024/schedule/golf","Golf","https://gstatic.olympics.com/s1/t_original/static/light/pictograms-paris-2024/olympics/GLF_small.svg"
"https://olympics.com/en/paris-2024/schedule/handball","Handball","https://gstatic.olympics.com/s1/t_original/static/light/pictograms-paris-2024/olympics/HBL_small.svg"
"https://olympics.com/en/paris-2024/schedule/hockey","Hockey","https://gstatic.olympics.com/s1/t_original/static/light/pictograms-paris-2024/olympics/HOC_small.svg"
"https://olympics.com/en/paris-2024/schedule/judo","Judo","https://gstatic.olympics.com/s1/t_original/static/light/pictograms-paris-2024/olympics/JUD_small.svg"
"https://olympics.com/en/paris-2024/schedule/marathon-swimming","Marathon Swimming","https://gstatic.olympics.com/s1/t_original/static/light/pictograms-paris-2024/olympics/OWS_small.svg"
"https://olympics.com/en/paris-2024/schedule/modern-pentathlon","Modern Pentathlon","https://gstatic.olympics.com/s1/t_original/static/light/pictograms-paris-2024/olympics/MPN_small.svg"
"https://olympics.com/en/paris-2024/schedule/rhythmic-gymnastics","Rhythmic Gymnastics","https://gstatic.olympics.com/s1/t_original/static/light/pictograms-paris-2024/olympics/GRY_small.svg"
"https://olympics.com/en/paris-2024/schedule/rowing","Rowing","https://gstatic.olympics.com/s1/t_original/static/light/pictograms-paris-2024/olympics/ROW_small.svg"
"https://olympics.com/en/paris-2024/schedule/rugby-sevens","Rugby Sevens","https://gstatic.olympics.com/s1/t_original/static/light/pictograms-paris-2024/olympics/RU7_small.svg"
"https://olympics.com/en/paris-2024/schedule/sailing","Sailing","https://gstatic.olympics.com/s1/t_original/static/light/pictograms-paris-2024/olympics/SAL_small.svg"
"https://olympics.com/en/paris-2024/schedule/shooting","Shooting","https://gstatic.olympics.com/s1/t_original/static/light/pictograms-paris-2024/olympics/SHO_small.svg"
"https://olympics.com/en/paris-2024/schedule/skateboarding","Skateboarding","https://gstatic.olympics.com/s1/t_original/static/light/pictograms-paris-2024/olympics/SKB_small.svg"
"https://olympics.com/en/paris-2024/schedule/sport-climbing","Sport Climbing","https://gstatic.olympics.com/s1/t_original/static/light/pictograms-paris-2024/olympics/CLB_small.svg"
"https://olympics.com/en/paris-2024/schedule/surfing","Surfing","https://gstatic.olympics.com/s1/t_original/static/light/pictograms-paris-2024/olympics/SRF_small.svg"
"https://olympics.com/en/paris-2024/schedule/swimming","Swimming","https://gstatic.olympics.com/s1/t_original/static/light/pictograms-paris-2024/olympics/SWM_small.svg"
"https://olympics.com/en/paris-2024/schedule/table-tennis","Table Tennis","https://gstatic.olympics.com/s1/t_original/static/light/pictograms-paris-2024/olympics/TTE_small.svg"
"https://olympics.com/en/paris-2024/schedule/taekwondo","Taekwondo","https://gstatic.olympics.com/s1/t_original/static/light/pictograms-paris-2024/olympics/TKW_small.svg"
"https://olympics.com/en/paris-2024/schedule/tennis","Tennis","https://gstatic.olympics.com/s1/t_original/static/light/pictograms-paris-2024/olympics/TEN_small.svg"
"https://olympics.com/en/paris-2024/schedule/trampoline-gymnastics","Trampoline Gymnastics","https://gstatic.olympics.com/s1/t_original/static/light/pictograms-paris-2024/olympics/GTR_small.svg"
"https://olympics.com/en/paris-2024/schedule/triathlon","Triathlon","https://gstatic.olympics.com/s1/t_original/static/light/pictograms-paris-2024/olympics/TRI_small.svg"
"https://olympics.com/en/paris-2024/schedule/volleyball","Volleyball","https://gstatic.olympics.com/s1/t_original/static/light/pictograms-paris-2024/olympics/VVO_small.svg"
"https://olympics.com/en/paris-2024/schedule/water-polo","Water Polo","https://gstatic.olympics.com/s1/t_original/static/light/pictograms-paris-2024/olympics/WPO_small.svg"
"https://olympics.com/en/paris-2024/schedule/weightlifting","Weightlifting","https://gstatic.olympics.com/s1/t_original/static/light/pictograms-paris-2024/olympics/WLF_small.svg"
"https://olympics.com/en/paris-2024/schedule/wrestling","Wrestling","https://gstatic.olympics.com/s1/t_original/static/light/pictograms-paris-2024/olympics/WRE_small.svg"